House,Duration,Peak,Volume,Outdoor_Events_x,Above_avg_vol,Above_avg_dur,Above_avg_peak,Outdoor_Events_y,City,Region,Outdoor_User
102,35470,696.88,675.22,0,0,0,0,0,Denver,Midwest,0
104,17750,316.32,414.87,0,0,0,0,0,Denver,Midwest,0
105,36880,1136.4,649.97,0,0,1,1,0,Denver,Midwest,0
106,38570,549.74,797.84,0,1,1,0,0,Denver,Midwest,0
107,44520,547.93,257.05,0,0,1,0,0,Denver,Midwest,0
108,12400,245.21,329.5,0,0,0,0,0,Denver,Midwest,0
109,13370,81.31,157.34,0,0,0,0,0,Denver,Midwest,0
110,24710,591.45,414.71,0,0,0,0,0,Denver,Midwest,0
111,10740,233.79,293.69,0,0,0,0,0,Denver,Midwest,0
112,17530,650.37,351.51,0,0,0,0,0,Denver,Midwest,0
114,18650,246.67,241.33,0,0,0,0,0,Denver,Midwest,0
116,14500,253.23,273.17,0,0,0,0,0,Denver,Midwest,0
118,16330,478.64,350.43,0,0,0,0,0,Denver,Midwest,0
119,13200,400.57,196.31,0,0,0,0,0,Denver,Midwest,0
120,19770,270.19,581.82,0,0,0,0,0,Denver,Midwest,0
121,27810,589.15,373.65,0,0,0,0,0,Denver,Midwest,0
122,14150,283.25,382.22,0,0,0,0,0,Denver,Midwest,0
123,35120,539.07,794.15,0,1,0,0,0,Denver,Midwest,0
124,61670,1094.23,627.99,0,0,1,1,0,Denver,Midwest,0
125,13970,351.76,326.96,0,0,0,0,0,Denver,Midwest,0
127,19180,413.95,508.48,0,0,0,0,0,Denver,Midwest,0
129,22460,678.69,279.69,0,0,0,0,0,Denver,Midwest,0
131,32510,905.88,857.83,0,1,0,1,4,Denver,Midwest,1
132,16910,606.75,357.85,0,0,0,0,0,Denver,Midwest,0
133,18640,196.57,494.08,0,0,0,0,0,Denver,Midwest,0
134,38410,656.71,400.43,0,0,1,0,1,Denver,Midwest,1
135,20580,599.29,412.09,0,0,0,0,0,Denver,Midwest,0
136,22200,375.1,465.53,0,0,0,0,0,Denver,Midwest,0
137,18910,292.32,508.77,0,0,0,0,0,Denver,Midwest,0
138,16110,401.83,555.24,0,0,0,0,0,Denver,Midwest,0
139,18590,422.88,269.45,0,0,0,0,0,Denver,Midwest,0
140,16300,641.29,307.94,0,0,0,0,0,Denver,Midwest,0
141,18890,525.78,499.77,0,0,0,0,0,Denver,Midwest,0
144,30370,677.61,701.42,0,1,0,0,22,Denver,Midwest,1
145,6120,213.25,64.54,0,0,0,0,0,Denver,Midwest,0
148,57790,1508.18,1250.67,0,1,1,1,0,Denver,Midwest,0
149,24440,370.59,466.34,0,0,0,0,0,Denver,Midwest,0
150,48000,735.88,396.94,0,0,1,1,0,Denver,Midwest,0
151,35790,846.26,308.39,0,0,0,1,0,Denver,Midwest,0
153,36200,445.34,777.71,0,1,1,0,0,Denver,Midwest,0
155,82420,1159.57,1092.94,0,1,1,1,0,Denver,Midwest,0
156,37450,952.19,725.96,0,1,1,1,0,Denver,Midwest,0
157,43010,848.29,664.12,0,0,1,1,0,Denver,Midwest,0
158,22660,528.21,401.29,0,0,0,0,0,Denver,Midwest,0
159,19650,598.85,382.26,0,0,0,0,2,Denver,Midwest,1
160,18740,392.78,299.21,0,0,0,0,0,Denver,Midwest,0
161,26660,437.59,269.8,0,0,0,0,3,Denver,Midwest,1
163,33460,520.4,723.35,0,1,0,0,0,Denver,Midwest,0
164,27060,668.21,572.31,0,0,0,0,0,Denver,Midwest,0
167,66180,1035.42,1319.76,0,1,1,1,0,Denver,Midwest,0
168,9670,226.43,176.65,0,0,0,0,0,Denver,Midwest,0
