House,Duration,Peak,Volume,Outdoor_Events_x,Above_avg_vol,Above_avg_dur,Above_avg_peak,Outdoor_Events_y,Outdoor_User
12S1003,40340,1495.5100000000054,659.6900000000005,0,0,1,1,0,0
12S1008,38340,1019.950000000002,539.9000000000002,0,0,1,1,0,0
12S1009,30420,602.3199999999999,842.5299999999994,0,1,0,0,0,0
12S1010,54120,1097.7000000000028,644.9799999999997,0,0,1,1,0,0
12S1011,47630,1095.7900000000013,771.3999999999994,0,1,1,1,0,0
12S1012,79150,1436.4699999999993,1353.4099999999974,0,1,1,1,0,0
12S1015,31270,826.7399999999998,508.9500000000002,0,0,0,1,0,0
12S1018,36190,1296.7799999999995,804.0299999999997,0,1,1,1,0,0
12S102,35470,696.8800000000007,675.2199999999995,0,0,0,0,0,0
12S1022,96230,1238.0999999999965,1528.860000000005,0,1,1,1,0,0
12S1024,26530,608.6799999999998,535.5099999999999,0,0,0,0,0,0
12S1027,36890,983.6800000000007,739.3700000000014,0,1,1,1,0,0
12S1028,42080,1355.420000000001,1084.7500000000011,0,1,1,1,0,0
12S1029,28720,533.5899999999998,424.65999999999974,0,0,0,0,0,0
12S1030,58390,1223.7700000000023,1147.8299999999988,0,1,1,1,0,0
12S1031,25330,830.3300000000003,556.7200000000008,0,0,0,1,0,0
12S1032,42270,662.9799999999996,1191.3599999999992,0,1,1,0,0,0
12S1033,55370,1432.959999999998,1270.3299999999986,0,1,1,1,0,0
12S1034,28420,879.3300000000004,467.22000000000037,0,0,0,1,0,0
12S1035,41310,739.1900000000013,561.6000000000001,0,0,1,1,0,0
12S1036,24705,791.9500000000002,535.1199999999998,0,0,0,1,0,0
12S1039,15980,568.9500000000002,213.28999999999988,0,0,0,0,0,0
12S104,17750,316.3200000000004,414.87000000000006,0,0,0,0,0,0
12S1040,96220,1934.0599999999965,2098.8099999999936,0,1,1,1,0,0
12S1042,22000,599.0399999999992,343.28000000000014,0,0,0,0,0,0
12S1043,32590,449.8299999999995,673.3399999999997,0,0,0,0,0,0
12S1045,60570,1303.869999999998,775.5200000000003,0,1,1,1,0,0
12S1047,76520,2130.1800000000026,1094.680000000003,0,1,1,1,0,0
12S1049,105610,2496.1999999999994,1981.6999999999891,0,1,1,1,0,0
12S105,36880,1136.3999999999967,649.9699999999982,0,0,1,1,0,0
12S1050,132790,2777.5099999999907,2314.399999999999,0,1,1,1,0,0
12S1051,27560,654.1100000000002,630.2199999999997,0,0,0,0,0,0
12S1053,15540,439.2599999999989,461.65000000000015,0,0,0,0,0,0
12S1054,26220,757.2099999999998,663.5599999999997,0,0,0,1,0,0
12S1057,28810,680.6499999999996,519.7200000000001,0,0,0,0,0,0
12S1058,51080,969.7399999999919,812.9399999999979,0,1,1,1,0,0
12S106,38570,549.739999999999,797.8399999999997,0,1,1,0,0,0
12S1063,35680,953.2899999999997,703.4199999999997,0,1,0,1,0,0
12S1067,83890,2549.980000000016,1523.289999999998,0,1,1,1,0,0
12S1068,22580,398.10999999999956,564.5199999999996,0,0,0,0,0,0
12S1069,33550,975.4599999999984,720.8100000000003,0,1,0,1,0,0
12S107,44520,547.929999999999,257.05000000000064,0,0,1,0,0,0
12S1071,37750,1120.4699999999987,659.8699999999992,0,0,1,1,0,0
12S1072,43260,777.0099999999996,561.84,0,0,1,1,0,0
12S1076,73100,1520.9099999999962,1557.2399999999975,0,1,1,1,0,0
12S1078,25180,488.47,547.1000000000005,0,0,0,0,0,0
12S108,12400,245.21000000000024,329.4999999999999,0,0,0,0,0,0
12S1080,16160,328.22000000000025,190.30999999999997,0,0,0,0,0,0
12S1082,59050,1500.5999999999995,1391.4399999999991,0,1,1,1,0,0
12S1083,57080,1264.220000000004,1397.9999999999973,0,1,1,1,0,0
12S1084,66310,1695.0300000000009,1278.8000000000025,0,1,1,1,0,0
12S1085,17920,309.8700000000006,233.87000000000003,0,0,0,0,0,0
12S1087,56510,1664.639999999999,1498.299999999999,0,1,1,1,0,0
12S1089,99340,1650.6500000000008,1831.2200000000003,0,1,1,1,0,0
12S109,13370,81.31000000000004,157.34,0,0,0,0,0,0
12S1090,16380,397.1200000000002,284.19999999999993,0,0,0,0,0,0
12S1094,48350,1043.6100000000044,628.4099999999991,0,0,1,1,0,0
12S110,24710,591.4499999999995,414.71000000000004,0,0,0,0,0,0
12S1104,32770,659.0599999999998,744.2700000000004,0,1,0,0,0,0
12S1105,83160,1136.5599999999995,1986.2599999999986,0,1,1,1,0,0
12S1109,53070,859.2100000000016,1451.0500000000015,0,1,1,1,0,0
12S111,10740,233.7900000000001,293.6899999999999,0,0,0,0,0,0
12S1110,63730,1631.5200000000013,1477.1599999999987,0,1,1,1,0,0
12S1113,31230,850.3699999999993,706.2999999999998,0,1,0,1,0,0
12S1114,53900,826.5100000000002,1171.3199999999997,0,1,1,1,0,0
12S1115,30130,768.28,537.0400000000001,0,0,0,1,0,0
12S1116,55330,1514.4899999999966,920.14,0,1,1,1,0,0
12S112,17530,650.3699999999988,351.50999999999937,0,0,0,0,0,0
12S1122,54410,1017.6300000000006,1268.6200000000024,0,1,1,1,0,0
12S114,18650,246.67000000000056,241.3299999999999,0,0,0,0,0,0
12S116,14500,253.2300000000002,273.1699999999999,0,0,0,0,0,0
12S118,16330,478.63999999999976,350.4299999999999,0,0,0,0,0,0
12S119,13200,400.5700000000002,196.30999999999995,0,0,0,0,0,0
12S120,19770,270.19000000000034,581.8199999999995,0,0,0,0,0,0
12S1201,17560,676.2199999999956,361.71999999999997,0,0,0,0,0,0
12S1203,28280,1140.4999999999968,706.0000000000003,0,1,0,1,0,0
12S1204,50920,1215.4799999999998,882.6900000000005,0,1,1,1,0,0
12S1205,10300,255.67999999999935,152.53000000000014,0,0,0,0,0,0
12S1206,12855,683.9799999999993,268.2600000000002,0,0,0,0,0,0
12S1207,43050,1015.5299999999925,415.3299999999999,0,0,1,1,0,0
